Entity,Code,Day,facial_coverings,,
Albania,ALB,24/4/20,1,,
Albania,ALB,25/4/20,1,,
Albania,ALB,26/4/20,1,,
Albania,ALB,27/4/20,1,,
Albania,ALB,28/4/20,1,,
Albania,ALB,29/4/20,1,,
Albania,ALB,30/4/20,1,,
Albania,ALB,1/5/20,1,,
Albania,ALB,2/5/20,1,,
Albania,ALB,3/5/20,1,,
Albania,ALB,4/5/20,1,,
Albania,ALB,5/5/20,1,,
Albania,ALB,6/5/20,1,,
Albania,ALB,7/5/20,1,,
Albania,ALB,8/5/20,1,,
Albania,ALB,9/5/20,1,,
Albania,ALB,10/5/20,1,,
Albania,ALB,11/5/20,1,,
Albania,ALB,12/5/20,1,,
Albania,ALB,13/5/20,1,,
Albania,ALB,14/5/20,1,,
Albania,ALB,15/5/20,1,,
Albania,ALB,16/5/20,1,,
Albania,ALB,17/5/20,1,,
Albania,ALB,18/5/20,1,,
Albania,ALB,19/5/20,1,,
Albania,ALB,20/5/20,1,,
Albania,ALB,21/5/20,1,,
Albania,ALB,22/5/20,1,,
Albania,ALB,23/5/20,1,,
Albania,ALB,24/5/20,1,,
Albania,ALB,25/5/20,1,,
Albania,ALB,26/5/20,1,,
Albania,ALB,27/5/20,1,,
Albania,ALB,28/5/20,1,,
Albania,ALB,29/5/20,1,,
Albania,ALB,30/5/20,1,,
Albania,ALB,31/5/20,1,,
